strategy,topic,corpus,method,participant,score
AN,AN_G,G,1,3,2
AN,AN_G,G,0,2,3
AN,AN_G,G,1,1,2
AN,AN_G,G,0,16,4
AN,AN_G,G,1,7,2
AN,AN_G,G,0,8,4
AN,AN_G,G,0,4,4
AN,AN_G,G,0,10,4
AN,AN_G,G,0,6,2
AN,AN_G,G,1,11,2
AN,AN_G,G,1,5,4
AN,AN_G,G,1,9,2
AN,AN_O,O,0,3,4
AN,AN_O,O,1,2,3
AN,AN_O,O,0,1,3
AN,AN_O,O,1,16,3
AN,AN_O,O,0,7,4
AN,AN_O,O,1,8,3
AN,AN_O,O,1,4,4
AN,AN_O,O,1,6,2
AN,AN_O,O,1,10,2
AN,AN_O,O,0,5,3
AN,AN_O,O,0,11,3
AN,AN_O,O,0,9,3
EE,EE_G,G,0,3,3
EE,EE_G,G,0,2,3
EE,EE_G,G,1,1,2
EE,EE_G,G,1,16,3
EE,EE_G,G,0,7,0
EE,EE_G,G,1,8,1
EE,EE_G,G,1,4,3
EE,EE_G,G,1,9,1
EE,EE_G,G,0,6,3
EE,EE_G,G,0,11,2
EE,EE_G,G,1,5,2
EE,EE_O,O,1,2,2
EE,EE_O,O,0,1,1
EE,EE_O,O,1,3,2
EE,EE_O,O,0,16,2
EE,EE_O,O,1,7,1
EE,EE_O,O,0,8,1
EE,EE_O,O,0,4,0
EE,EE_O,O,1,6,1
EE,EE_O,O,1,11,1
EE,EE_O,O,0,5,1
EE,EE_O,O,0,9,0
IL,IL_G,G,0,3,3
IL,IL_G,G,1,2,1
IL,IL_G,G,0,1,2
IL,IL_G,G,1,16,3
IL,IL_G,G,0,7,1
IL,IL_G,G,1,8,3
IL,IL_G,G,0,11,3
IL,IL_G,G,1,4,3
IL,IL_G,G,0,9,1
IL,IL_G,G,1,10,4
IL,IL_G,G,1,6,1
IL,IL_G,G,0,5,4
IL,IL_O,O,1,3,3
IL,IL_O,O,0,2,1
IL,IL_O,O,1,1,3
IL,IL_O,O,0,16,4
IL,IL_O,O,1,7,4
IL,IL_O,O,0,8,3
IL,IL_O,O,0,4,3
IL,IL_O,O,1,11,3
IL,IL_O,O,0,10,4
IL,IL_O,O,0,6,1
IL,IL_O,O,1,5,3
IL,IL_O,O,1,9,1
LC,LC_G,G,1,3,2
LC,LC_G,G,0,2,3
LC,LC_G,G,1,1,3
LC,LC_G,G,0,16,3
LC,LC_G,G,1,7,2
LC,LC_G,G,0,8,1
LC,LC_G,G,0,4,3
LC,LC_G,G,0,6,3
LC,LC_G,G,1,5,3
LC,LC_G,G,1,11,2
LC,LC_G,G,1,9,2
LC,LC_O,O,0,3,4
LC,LC_O,O,1,2,3
LC,LC_O,O,0,1,3
LC,LC_O,O,1,16,3
LC,LC_O,O,0,7,4
LC,LC_O,O,1,8,4
LC,LC_O,O,1,4,4
LC,LC_O,O,0,11,4
LC,LC_O,O,1,6,2
LC,LC_O,O,0,5,4
LC,LC_O,O,0,9,3
RQ,RQ_G,G,0,3,3
RQ,RQ_G,G,1,2,3
RQ,RQ_G,G,0,1,4
RQ,RQ_G,G,1,16,4
RQ,RQ_G,G,0,7,4
RQ,RQ_G,G,1,8,4
RQ,RQ_G,G,1,4,4
RQ,RQ_G,G,0,9,3
RQ,RQ_G,G,1,6,3
RQ,RQ_G,G,0,5,4
RQ,RQ_G,G,0,11,2
RQ,RQ_O,O,1,3,2
RQ,RQ_O,O,0,2,3
RQ,RQ_O,O,1,1,3
RQ,RQ_O,O,0,16,3
RQ,RQ_O,O,1,7,3
RQ,RQ_O,O,0,8,3
RQ,RQ_O,O,0,4,3
RQ,RQ_O,O,1,11,3
RQ,RQ_O,O,0,6,1
RQ,RQ_O,O,1,5,3
RQ,RQ_O,O,0,10,3
RQ,RQ_O,O,1,9,3
TP,TP_G,G,1,3,3
TP,TP_G,G,1,2,3
TP,TP_G,G,0,1,4
TP,TP_G,G,0,16,4
TP,TP_G,G,1,7,2
TP,TP_G,G,0,8,3
TP,TP_G,G,0,4,4
TP,TP_G,G,1,6,3
TP,TP_G,G,0,5,3
TP,TP_G,G,1,11,3
TP,TP_G,G,0,9,2
TP,TP_O,O,0,3,4
TP,TP_O,O,0,2,2
TP,TP_O,O,1,1,4
TP,TP_O,O,1,16,4
TP,TP_O,O,0,7,2
TP,TP_O,O,1,8,2
TP,TP_O,O,0,11,2
TP,TP_O,O,1,4,4
TP,TP_O,O,1,9,1
TP,TP_O,O,0,6,3
TP,TP_O,O,0,10,4
TP,TP_O,O,1,5,4
