"时间戳记","Participant number:","(1) Please recall and summarize the content of the video you watched as if explaining to a friend who is unfamiliar with the topic. (Please write as much as you can.)","(2) Today's most commonly eaten banana variety named...","(3) Before the 1960s, the popular banana variety is...","(4) What makes Cavendish bananas vulnerable to the new strain of Panama disease?","(5) What concern do scientists have about the future of Cavendish bananas?","(6) What is the main concern regarding the Cavendish banana, and how does its genetic uniformity relate to this issue? (Please write as much as you can.)"
"2024/08/11 12:09:52 下午 GMT+8","P3","/","(A) Cavendish.","(B) Gros Michel.","(C) Lack of genetic diversity","(B) They may become extinct.","It will die due to some diseases. "
"2024/08/11 1:28:39 下午 GMT+8","P2","Recorded","(B) Gros Michel.","(A) Cavendish.","(C) Lack of genetic diversity","(B) They may become extinct.","They may be valunerable to Panama disease and due to the genetic uniformity it is hard to develop new varieties of it."
"2024/08/11 6:26:38 下午 GMT+8","P1",".","(A) Cavendish.","(B) Gros Michel.","(C) Lack of genetic diversity","(B) They may become extinct.","The uniformity in the gene makes the banana vulnerable to diseases. A disease could make the banana extinct."
"2024/08/12 10:39:28 上午 GMT+8","16","n/a","(A) Cavendish.","(B) Gros Michel.","(C) Lack of genetic diversity","(B) They may become extinct.","the Cavendish banana lacks genetic diversity so it has a risk of extinction. A Panana disease may wipe out the Cavendish banana entirely."
"2024/08/13 12:32:59 下午 GMT+8","P7","None","(B) Gros Michel.","(A) Cavendish.","(C) Lack of genetic diversity","(B) They may become extinct.","The genetic diversity is less because of the Panama disease, and it had made the population of Cavendish banana less"
"2024/08/13 8:05:48 下午 GMT+8","P8","None","(B) Gros Michel.","(A) Cavendish.","(C) Lack of genetic diversity","(B) They may become extinct.","It may be extinct because their gene is less diversity. So most of may be affected. "
"2024/08/13 10:44:06 下午 GMT+8","11","N/A","(B) Gros Michel.","(A) Cavendish.","(C) Lack of genetic diversity","(B) They may become extinct.","Cavendish banana会绝种，它缺乏基因多样性"
"2024/08/13 10:45:26 下午 GMT+8","P4","NA","(A) Cavendish.","(B) Gros Michel.","(C) Lack of genetic diversity","(B) They may become extinct.","It may become extinct. Their genetic uniformity means if one of them are vulnerable to the disease, all of them are the same and could be killed by this disease and become distinct."
"2024/08/14 11:14:55 上午 GMT+8","P9","Back in the days, there’s only one kind of bananas, because they are all genetically identical. But after a major disease, this kind of bananas pretty much died out. And then, a new kind of bananas that contains bit complex genes appears.","(B) Gros Michel.","(A) Cavendish.","(C) Lack of genetic diversity","(D) They will become less popular.","Simple and non divergent genes making cavendish banana vulnerable from disease. If any disease hit, the whole kind of banana will extinct. Therefore, a diverse genes group may help to cope with the attacks."
"2024/08/14 12:02:23 下午 GMT+8","P6","NA","(A) Cavendish.","(C) Plantain.","(C) Lack of genetic diversity","(B) They may become extinct.","The C.banana might become extinct due to its gene lack of diversity."
"2024/08/14 12:14:50 下午 GMT+8","P10","Currently there is a serious fungal disease threatening the world's production of bananas, Cavendish variety to be exact.  Unlike other crops that grows from seeds, Cavendish banana farmer would plant the stems and brunches of existing banana trees to grow more bananas.  This makes all Cavendish bananas have the same genetic makeup, which is vulnerable to a fungus that is found spreading and killing orchards of bananas.  Cavendish banana could become extinct, which it what happened to previous commercial banana species.","(A) Cavendish.","(B) Gros Michel.","(C) Lack of genetic diversity","(B) They may become extinct.","Modern farming practices in banana orchards results in genetic uniformity for Cavendish bananas.  All Cavendish are vulnerable to a strain of fungus that causes Panama disease and kills the plant.  There is no genetic diversity to fight the fungus and Cavendish might go extinct if the spread of said fungus continues."
"2024/08/14 12:39:00 下午 GMT+8","P12","The banana we eat these days is differently from what human eat back in the old days. Before 1980s, people are eating another kind of banana Gros Michel. The old banana is sweeter and thicker. However, these banana extinguish by getting infected by virus. We only have one kind of banana Cavendish these days. This makes banana vulnerable to any gene mutuation disease. ","(A) Cavendish.","(B) Gros Michel.","(C) Lack of genetic diversity","(B) They may become extinct.","The main concern is Cavendish banana is going to extinguish due to weak of genetic disease just like the Gros Michel back in the old time. The genetic uniformity of the Cavendish banana making it hard to resist diseases and when they get infected, there are no other solution to tackle this problem. There is no other replacement to banana if Cavendish getting the disease and extinguish. There will be no banana after that happens. "
"2024/08/14 3:57:12 下午 GMT+8","P5","NA","(A) Cavendish.","(B) Gros Michel.","(C) Lack of genetic diversity","(B) They may become extinct.","这个Cavendish品种的香蕉在种植中需要移植他们的基因，因为他们好像没有种子"
"2024/08/14 5:24:28 下午 GMT+8","P15","Species of banana changes due to the specific bateria.  Today most bananas are same species. ","(B) Gros Michel.","(B) Gros Michel.","(C) Lack of genetic diversity","(A) They will become genetically modified.","Easily attacked by any mutation of bateria. "
"2024/08/20 9:30:42 下午 GMT+8","13",".","(B) Gros Michel.","(A) Cavendish.","(C) Lack of genetic diversity","(A) They will become genetically modified.","我记得一开始就说这种类型的香蕉以前属于最受欢迎的大一统状态，但凡事有利有弊，这样也导致了它无法产生多样的物种杂交"
"2024/08/21 9:09:19 下午 GMT+8","P14","N/A","(A) Cavendish.","(B) Gros Michel.","(C) Lack of genetic diversity","(A) They will become genetically modified.","基因的单一性，病毒变异感染后很可能导致香蕉灭种。"
