Timestamp,Participant number:,What is the primary focus of researchers targeting mosquito species?,What diseases is the Aedes aegypti mosquito known to transmit?,What approach has been developed to reduce A. aegypti populations without killing them directly?,What is the purpose of the self-limiting gene introduced by Oxitec into A. aegypti mosquitoes?,What was the main goal of the experiments conducted by the British company Oxitec in 2015?,What happens to the offspring of genetically modified A. aegypti mosquitoes with the self-limiting gene?,Why are male A. aegypti mosquitoes used in genetic modification experiments?, I am good at watching this multimodal learning material.,"How much mental and perceptual activity was required while watching the multimodal learning material (e.g., thinking, remembering)?","How frustrated, irritated, stressed, or annoyed did you feel while watching the multimodal learning material?",Watching this multimodal learning material was pleasurable to me.,How much time pressure did you feel while watching the multimodal learning material?,How much effort did you have to put in mentally and physically to understand the multimodal learning material?, I lost track of what was going on outside of watching this multimodal learning material.,"How much physical effort was required while engaging with the multimodal learning material (e.g., adjusting posture, maintaining focus)?",How difficult did you find the content of the multimodal learning material?,How familiar were you with the content of the multimodal learning material before engaging with it?,I have a good understanding of the multimodal learning material
2024/08/04 12:37:05 PM GMT+8,P3,(B) Eradicating harmful mosquito species,"(B) Yellow Fever, Dengue, Chikungunya, and Zika viruses",(B) Genetic modification,(C) To prevent their offspring from developing into adults,(C) To prevent mosquito-borne disease transmission,(C) They fail to mature into adults,(B) They live longer than females,3,5,4,2,2,5,5,2,5,1,5
2024/08/04 8:36:51 PM GMT+8,P1,(B) Eradicating harmful mosquito species,"(B) Yellow Fever, Dengue, Chikungunya, and Zika viruses",(B) Genetic modification,(C) To prevent their offspring from developing into adults,(A) To increase the population of A. aegypti,(C) They fail to mature into adults,(D) They are more resistant to genetic modification,2,6,5,2,5,4,4,5,3,2,4
2024/08/05 7:24:21 AM GMT+8,P2,(B) Eradicating harmful mosquito species,"(B) Yellow Fever, Dengue, Chikungunya, and Zika viruses",(B) Genetic modification,(C) To prevent their offspring from developing into adults,(C) To prevent mosquito-borne disease transmission,(C) They fail to mature into adults,(A) They do not transmit diseases,6,2,2,7,2,2,6,1,1,2,7
2024/08/05 11:39:56 AM GMT+8,16,(B) Eradicating harmful mosquito species,"(B) Yellow Fever, Dengue, Chikungunya, and Zika viruses",(B) Genetic modification,(C) To prevent their offspring from developing into adults,(C) To prevent mosquito-borne disease transmission,(C) They fail to mature into adults,(C) They are easier to capture,5,4,3,3,3,3,3,2,4,2,4
2024/08/06 3:58:39 PM GMT+8,P7,(B) Eradicating harmful mosquito species,"(B) Yellow Fever, Dengue, Chikungunya, and Zika viruses",(B) Genetic modification,(C) To prevent their offspring from developing into adults,(C) To prevent mosquito-borne disease transmission,(C) They fail to mature into adults,(A) They do not transmit diseases,6,2,2,2,2,2,2,2,2,6,6
2024/08/06 7:55:21 PM GMT+8,11,(B) Eradicating harmful mosquito species,"(B) Yellow Fever, Dengue, Chikungunya, and Zika viruses",(B) Genetic modification,(C) To prevent their offspring from developing into adults,(C) To prevent mosquito-borne disease transmission,(C) They fail to mature into adults,(B) They live longer than females,5,2,3,3,3,2,4,2,2,1,6
2024/08/06 9:21:15 PM GMT+8,8,(B) Eradicating harmful mosquito species,"(B) Yellow Fever, Dengue, Chikungunya, and Zika viruses",(B) Genetic modification,(C) To prevent their offspring from developing into adults,(C) To prevent mosquito-borne disease transmission,(C) They fail to mature into adults,(B) They live longer than females,6,6,4,5,4,6,4,5,3,1,6
2024/08/07 12:33:47 AM GMT+8,P10,(B) Eradicating harmful mosquito species,"(B) Yellow Fever, Dengue, Chikungunya, and Zika viruses",(B) Genetic modification,(C) To prevent their offspring from developing into adults,(C) To prevent mosquito-borne disease transmission,(C) They fail to mature into adults,(A) They do not transmit diseases,6,3,1,5,1,2,4,2,1,6,6
2024/08/07 1:57:45 AM GMT+8,P4,(B) Eradicating harmful mosquito species,"(B) Yellow Fever, Dengue, Chikungunya, and Zika viruses",(B) Genetic modification,(C) To prevent their offspring from developing into adults,(C) To prevent mosquito-borne disease transmission,(C) They fail to mature into adults,(A) They do not transmit diseases,4,4,2,5,3,5,4,5,5,5,4
2024/08/07 4:00:48 PM GMT+8,P5,(B) Eradicating harmful mosquito species,"(B) Yellow Fever, Dengue, Chikungunya, and Zika viruses",(B) Genetic modification,(D) To enhance their ability to transmit viruses,(C) To prevent mosquito-borne disease transmission,(C) They fail to mature into adults,(D) They are more resistant to genetic modification,5,2,1,5,1,1,2,1,2,1,5
2024/08/07 5:41:53 PM GMT+8,P15,(B) Eradicating harmful mosquito species,"(B) Yellow Fever, Dengue, Chikungunya, and Zika viruses",(B) Genetic modification,(C) To prevent their offspring from developing into adults,(C) To prevent mosquito-borne disease transmission,(C) They fail to mature into adults,(A) They do not transmit diseases,6,5,2,6,3,3,2,3,2,5,5
2024/08/07 8:18:33 PM GMT+8,P12,(B) Eradicating harmful mosquito species,"(B) Yellow Fever, Dengue, Chikungunya, and Zika viruses",(B) Genetic modification,(C) To prevent their offspring from developing into adults,(C) To prevent mosquito-borne disease transmission,(C) They fail to mature into adults,(D) They are more resistant to genetic modification,3,5,4,5,3,5,5,3,4,1,3
2024/08/07 9:42:54 PM GMT+8,P6,(A) Protecting mosquito populations,"(B) Yellow Fever, Dengue, Chikungunya, and Zika viruses",(B) Genetic modification,(A) To increase their reproduction rate,(B) To modify mosquito diets,(C) They fail to mature into adults,(D) They are more resistant to genetic modification,4,5,4,3,4,5,4,3,5,3,3
2024/08/07 11:07:18 PM GMT+8,P9,(B) Eradicating harmful mosquito species,"(B) Yellow Fever, Dengue, Chikungunya, and Zika viruses",(B) Genetic modification,(C) To prevent their offspring from developing into adults,(C) To prevent mosquito-borne disease transmission,(C) They fail to mature into adults,(A) They do not transmit diseases,4,1,1,1,1,1,1,1,1,1,7
