Timestamp,Participant number:,What significant weather events occurred in the year described?,How many people had died due to the fires as of early January 2020?,Approximately how much land was burned by the fires?,How does the area burned compare to the Amazon rainforest fires of 2019?,What impact did the fires have on animal populations according to initial estimates?,What was the impact on the koala population in New South Wales?,Do experts believe koalas will become functionally extinct due to the fires?, I am good at watching this multimodal learning material.,"How much mental and perceptual activity was required while watching the multimodal learning material (e.g., thinking, remembering)?","How frustrated, irritated, stressed, or annoyed did you feel while watching the multimodal learning material?",Watching this multimodal learning material was pleasurable to me.,How much time pressure did you feel while watching the multimodal learning material?,How much effort did you have to put in mentally and physically to understand the multimodal learning material?, I lost track of what was going on outside of watching this multimodal learning material.,"How much physical effort was required while engaging with the multimodal learning material (e.g., adjusting posture, maintaining focus)?",How difficult did you find the content of the multimodal learning material?,How familiar were you with the content of the multimodal learning material before engaging with it?,I have a good understanding of the multimodal learning material
2024/08/04 1:07:03 PM GMT+8,P3,"(B) Severe drought, hot year, and December heat wave",(B) 25,(B) 5.4 million acres,(C) Nearly seven times the Amazon fires,(B) 500 million animals died,(B) One-third of the population was killed,"(C) Yes, but only in certain areas",1,6,5,2,2,6,5,2,6,1,3
2024/08/04 9:39:09 PM GMT+8,P1,"(B) Severe drought, hot year, and December heat wave",(B) 25,(B) 5.4 million acres,(B) About the same as the Amazon fires,(B) 500 million animals died,(B) One-third of the population was killed,"(D) No, but they are critically endangered",1,7,6,2,6,7,5,5,6,1,1
2024/08/05 6:54:47 AM GMT+8,P2,"(B) Severe drought, hot year, and December heat wave",(B) 25,(C) 10.2 million acres,(C) Nearly seven times the Amazon fires,(B) 500 million animals died,(A) They became functionally extinct,"(B) No, they don't believe this to be true",2,7,6,1,6,6,6,7,5,1,4
2024/08/05 11:25:35 AM GMT+8,16,"(B) Severe drought, hot year, and December heat wave",(B) 25,(D) 14.7 million acres,(C) Nearly seven times the Amazon fires,(B) 500 million animals died,(B) One-third of the population was killed,"(B) No, they don't believe this to be true",4,6,5,3,3,5,3,3,4,3,5
2024/08/06 3:49:39 PM GMT+8,P7,"(B) Severe drought, hot year, and December heat wave",(B) 25,(D) 14.7 million acres,(D) Twice the Amazon fires,"(C) 8,000 koalas died",(D) Half of their habitat was lost,"(A) Yes, they are now functionally extinct",5,6,3,3,3,3,3,4,2,5,6
2024/08/06 6:53:57 PM GMT+8,8,"(B) Severe drought, hot year, and December heat wave",(B) 25,(D) 14.7 million acres,(C) Nearly seven times the Amazon fires,"(C) 8,000 koalas died",(D) Half of their habitat was lost,"(C) Yes, but only in certain areas",5,6,6,2,6,6,1,6,7,1,2
2024/08/06 7:00:30 PM GMT+8,11,"(B) Severe drought, hot year, and December heat wave",(C) 50,(D) 14.7 million acres,(C) Nearly seven times the Amazon fires,"(C) 8,000 koalas died",(D) Half of their habitat was lost,"(D) No, but they are critically endangered",6,3,3,2,2,4,4,2,2,1,6
2024/08/07 12:46:41 AM GMT+8,P10,"(B) Severe drought, hot year, and December heat wave",(B) 25,(D) 14.7 million acres,(C) Nearly seven times the Amazon fires,(B) 500 million animals died,(B) One-third of the population was killed,"(B) No, they don't believe this to be true",2,5,2,4,1,5,4,3,3,4,5
2024/08/07 2:29:09 AM GMT+8,P4,"(B) Severe drought, hot year, and December heat wave",(D) 100,(C) 10.2 million acres,(C) Nearly seven times the Amazon fires,(B) 500 million animals died,(A) They became functionally extinct,"(C) Yes, but only in certain areas",5,4,1,4,4,6,4,5,6,2,5
2024/08/07 3:08:52 PM GMT+8,P5,"(B) Severe drought, hot year, and December heat wave",(B) 25,(D) 14.7 million acres,(C) Nearly seven times the Amazon fires,(B) 500 million animals died,(A) They became functionally extinct,"(B) No, they don't believe this to be true",3,2,1,6,1,1,1,1,2,1,5
2024/08/07 8:36:28 PM GMT+8,P12,"(B) Severe drought, hot year, and December heat wave",(B) 25,(C) 10.2 million acres,(C) Nearly seven times the Amazon fires,(D) 1 billion animals died,(B) One-third of the population was killed,"(B) No, they don't believe this to be true",5,5,2,5,3,5,3,2,5,2,5
2024/08/07 9:30:45 PM GMT+8,P9,"(B) Severe drought, hot year, and December heat wave",(B) 25,(D) 14.7 million acres,(C) Nearly seven times the Amazon fires,(B) 500 million animals died,(A) They became functionally extinct,"(B) No, they don't believe this to be true",4,5,4,1,2,1,6,5,1,1,7
2024/08/07 10:47:35 PM GMT+8,P15,"(B) Severe drought, hot year, and December heat wave",(B) 25,(A) 2.8 million acres,(C) Nearly seven times the Amazon fires,(B) 500 million animals died,(B) One-third of the population was killed,"(B) No, they don't believe this to be true",6,2,2,5,3,5,2,2,2,3,5
2024/08/07 11:14:06 PM GMT+8,P6,"(B) Severe drought, hot year, and December heat wave",(B) 25,(D) 14.7 million acres,(C) Nearly seven times the Amazon fires,(A) 1 million animals died,(B) One-third of the population was killed,"(D) No, but they are critically endangered",5,5,3,5,5,6,3,2,3,6,6
2024/08/13 10:24:15 AM GMT+8,13,"(B) Severe drought, hot year, and December heat wave",(D) 100,(B) 5.4 million acres,(D) Twice the Amazon fires,(B) 500 million animals died,(B) One-third of the population was killed,"(B) No, they don't believe this to be true",5,5,3,3,4,5,5,4,4,1,5
2024/08/14 11:34:43 PM GMT+8,P14,"(B) Severe drought, hot year, and December heat wave",(B) 25,(C) 10.2 million acres,(D) Twice the Amazon fires,(D) 1 billion animals died,(B) One-third of the population was killed,"(D) No, but they are critically endangered",5,3,4,4,2,2,5,2,2,2,6
