"Timestamp","Participant number:","How does Norway's history of industrially based social classes compare to other European nations'?","What was the basis of the preindustrial economy in Norway?","Why did a strong aristocracy and landowner class not emerge in most of Norway?","What was a significant exception to the absence of a strong landowner class in Norway?","What contributed to the development of egalitarianism in Norway?","How do several observers describe the equality found in Norway's history?","What historical factor significantly affected Norway's social structure before 1905?"," I am good at watching this multimodal learning material.","How much mental and perceptual activity was required while watching the multimodal learning material (e.g., thinking, remembering)?","How frustrated, irritated, stressed, or annoyed did you feel while watching the multimodal learning material?","Watching this multimodal learning material was pleasurable to me.","How much time pressure did you feel while watching the multimodal learning material?","How much effort did you have to put in mentally and physically to understand the multimodal learning material?"," I lost track of what was going on outside of watching this multimodal learning material.","How much physical effort was required while engaging with the multimodal learning material (e.g., adjusting posture, maintaining focus)?","How difficult did you find the content of the multimodal learning material?","How familiar were you with the content of the multimodal learning material before engaging with it?","I have a good understanding of the multimodal learning material"
"2024/08/04 11:22:28 AM GMT+8","P3","- B) It has a more recent history","- B) Small independent peasantry combining agriculture with fishing or forestry","- B) The topography was unfavorable for large estates","- B) The southern regions where a landowner class did exist","- C) The preindustrial economy and lack of aristocracy","- C) An equality of poverty","- B) Foreign rule for five centuries","5","6","3","3","5","5","5","3","4","1","4"
"2024/08/04 8:51:28 PM GMT+8","P1","- B) It has a more recent history","- B) Small independent peasantry combining agriculture with fishing or forestry","- B) The topography was unfavorable for large estates","- B) The southern regions where a landowner class did exist","- A) The country's wealth and prosperity","- C) An equality of poverty","- B) Foreign rule for five centuries","2","7","6","1","7","7","7","5","7","1","3"
"2024/08/05 7:01:08 AM GMT+8","P2","- B) It has a more recent history","- B) Small independent peasantry combining agriculture with fishing or forestry","- B) The topography was unfavorable for large estates","- B) The southern regions where a landowner class did exist","- C) The preindustrial economy and lack of aristocracy","- C) An equality of poverty","- D) Rapid industrialization","3","6","5","4","4","5","5","3","4","1","4"
"2024/08/05 11:01:28 AM GMT+8","16","- B) It has a more recent history","- B) Small independent peasantry combining agriculture with fishing or forestry","- B) The topography was unfavorable for large estates","- B) The southern regions where a landowner class did exist","- C) The preindustrial economy and lack of aristocracy","- C) An equality of poverty","- C) Independence and democratic development","5","4","2","6","4","3","4","2","3","1","5"
"2024/08/06 3:38:51 PM GMT+8","P7","- A) It has a longer history","- B) Small independent peasantry combining agriculture with fishing or forestry","- C) Norway was under foreign rule for three centuries","- D) The western regions with mining operations","- C) The preindustrial economy and lack of aristocracy","- C) An equality of poverty","- B) Foreign rule for five centuries","1","7","4","6","6","5","6","2","6","1","3"
"2024/08/06 8:41:32 PM GMT+8","8","- B) It has a more recent history","- B) Small independent peasantry combining agriculture with fishing or forestry","- B) The topography was unfavorable for large estates","- D) The western regions with mining operations","- C) The preindustrial economy and lack of aristocracy","- C) An equality of poverty","- B) Foreign rule for five centuries","6","7","3","4","3","6","5","6","5","2","6"
"2024/08/06 8:43:55 PM GMT+8","11","- B) It has a more recent history","- B) Small independent peasantry combining agriculture with fishing or forestry","- C) Norway was under foreign rule for three centuries","- B) The southern regions where a landowner class did exist","- C) The preindustrial economy and lack of aristocracy","- C) An equality of poverty","- B) Foreign rule for five centuries","5","3","3","3","2","2","4","2","3","1","5"
"2024/08/07 12:50:43 AM GMT+8","P10","- B) It has a more recent history","- B) Small independent peasantry combining agriculture with fishing or forestry","- B) The topography was unfavorable for large estates","- B) The southern regions where a landowner class did exist","- C) The preindustrial economy and lack of aristocracy","- C) An equality of poverty","- B) Foreign rule for five centuries","5","2","1","5","1","2","4","2","3","1","5"
"2024/08/07 2:37:45 AM GMT+8","P4","- B) It has a more recent history","- B) Small independent peasantry combining agriculture with fishing or forestry","- C) Norway was under foreign rule for three centuries","- A) The northern regions with extensive fishing industries","- C) The preindustrial economy and lack of aristocracy","- C) An equality of poverty","- B) Foreign rule for five centuries","4","4","4","4","4","5","4","4","5","1","4"
"2024/08/07 4:21:28 PM GMT+8","P5","- B) It has a more recent history","- B) Small independent peasantry combining agriculture with fishing or forestry","- B) The topography was unfavorable for large estates","- B) The southern regions where a landowner class did exist","- C) The preindustrial economy and lack of aristocracy","- C) An equality of poverty","- B) Foreign rule for five centuries","6","1","1","2","1","1","2","1","2","1","6"
